"Group","EEF_DIC","ORL_DIC","Diff","Better"
"HC",11835.9152138948,11669.7791876091,166.13602628578,"ORL"
"Amph",9224.52413673709,9061.75208144993,162.772055287165,"ORL"
"Hero",10347.1954581627,10255.3031914963,91.8922666664712,"ORL"
