"true_mu_w","infer_mu_w","true_mu_A","infer_mu_A","true_mu_a","infer_mu_a","true_mu_theta","infer_mu_theta","true_sigma_w","infer_sigma_w","true_sigma_A","infer_sigma_A","true_sigma_a","infer_sigma_a","true_sigma_theta","infer_sigma_theta"
2.75042167166248,0.0494170923110886,0.53909973516129,0.550172601625067,0.488315716572106,0.000524445953510559,1.59364854625892,0.063463283168362,0.351168025541119,0.0574803727702757,0.190921320999041,0.0583825731440182,0.0986551787238568,0.0489887814611371,0.261504467623308,0.0289876928174064
2.65772110503167,0.293229659305064,0.398753045196645,0.454344808114175,0.46618566038087,0.00644453917503055,0.530904005747288,0.0150834610851073,0.408574001886882,0.0555089428170235,0.205505783064291,0.0590075316056108,0.0950313630513847,0.0425781702911768,0.233722812542692,0.0394337837021177
1.16953519498929,0.283945038197021,0.733757668593898,0.689297428015369,0.393544371146709,0.00137052433280513,0.880143342888914,0.00714466266760057,0.206990977469832,0.0585481497586767,0.299272791855037,0.0554409451555263,0.122356393910013,0.0481953093745554,0.157017477834597,0.0362495978149505
2.46616089669988,0.914519060971479,0.519616836635396,0.598376927117181,0.255115124862641,0.430227987976243,0.641190449823625,0.0184669686249954,0.453916558716446,0.05475160100663,0.276702353591099,0.0610485545928892,0.122599354176782,0.0497785929395675,0.14919988727197,0.0418310512411597
2.78066335013136,0.183807634742957,0.771519540878944,0.23386841372933,0.445286023616791,0.00278438243698421,1.87969945347868,0.0695704590252674,0.207657713303342,0.0535691213392377,0.226100067095831,0.0556695442906526,0.144740894436836,0.0546530441758564,0.263276119483635,0.0498281739843084
2.83821644261479,0.49983008861864,0.429666475462727,0.383814725649883,0.431042279861867,0.000526020102539053,1.44082638376858,0.0569664294835028,0.456877251924016,0.0532416641256422,0.129175626067445,0.0546908350157329,0.116190608520992,0.044999645446637,0.249070056295022,0.0313825491843083
1.6951240869239,0.416244786725851,0.593753920821473,0.669842332273535,0.181130179949105,0.000853887466710306,1.52366650348995,0.0427527409414237,0.25925216532778,0.0571511193419175,0.250823235325515,0.0554690262286723,0.0697393487673253,0.0436828620832242,0.109311407292262,0.0328051529622565
1.37010411638767,3.50767927711214,0.535128131811507,0.616437424493995,0.187584085855633,0.471018898921214,0.753081202390604,0.13698575772823,0.356419845484197,0.055753374106647,0.183234769618139,0.0611603977890855,0.0932997059077025,0.0681484683025041,0.145561062777415,0.0462607412847064
1.71382966823876,0.22135097125395,0.348301546834409,0.373909656940306,0.135212958045304,0.00145537477326743,1.92306712642312,0.0455695211371429,0.321635456522927,0.0565439999716777,0.194035055767745,0.0612172494079116,0.0539248031331226,0.0339552400264098,0.229354239301756,0.0346802166785707
1.0559123037383,2.59586572560246,0.326945952791721,0.306813782333089,0.185197081789374,0.659021226110081,0.589425240061246,0.0680796391362345,0.398307457263581,0.0571639515807606,0.244070644536987,0.0531239228050662,0.108523468044586,0.0515797639811178,0.286820041108876,0.0731903248420816
