"true_mu_a_rew","infer_mu_a_rew","true_mu_a_pun","infer_mu_a_pun","true_mu_K","infer_mu_K","true_mu_omega_f","infer_mu_omega_f","true_mu_omega_p","infer_mu_omega_p","true_sigma_a_rew","infer_sigma_a_rew","true_sigma_a_pun","infer_sigma_a_pun","true_sigma_K","infer_sigma_K","true_sigma_omega_f","infer_sigma_omega_f","true_sigma_omega_p","infer_sigma_omega_p"
0.403463873360306,0.431653110891684,0.343002399709076,0.422017381952253,0.72934962506406,0.96584969514195,0.274516215082258,0.259574886744151,-0.350617732387036,-0.597610109507996,0.0718339592218399,0.0845561238498702,0.0729144299868494,0.0908321520771622,0.174788343301043,0.142696795760128,0.426226409338415,0.627492527286683,0.386915882769972,0.139747705866315
0.235740304086357,0.214139979142109,0.155377258919179,0.15241052232073,1.11296703561675,1.05500407607133,0.956503707915545,0.837094453340805,-0.496637407690287,-0.337209170978986,0.0951184061355889,0.0837893799958647,0.124796710093506,0.0880791115643793,0.250065409904346,0.64639502412969,0.433988076634705,0.27939306603,0.113401747774333,0.148032286729573
0.306060565449297,0.404095234325321,0.229950223956257,0.390767508669217,1.38366019935347,1.51954705180568,-0.792748612817377,-0.797253001102572,-0.410832533147186,-0.725265970178152,0.0787101286230609,0.14029252691838,0.140825832053088,0.142480249617635,0.12899153935723,0.258426133740578,0.380333518143743,0.345619755263789,0.377413292042911,0.260579426872734
0.240660063363612,0.219590101015329,0.350972803495824,0.340893500652452,1.09140773152467,1.37480675066225,-0.34411290846765,-0.35893905095853,-0.698464603628963,-0.623971198038928,0.0869194766972214,0.10609952553138,0.129976997850463,0.116777525547918,0.126798832463101,0.185064328308664,0.235985230468214,0.118422265970214,0.119979977235198,0.20179234197533
0.173174668475986,0.191189414711487,0.21819309303537,0.219952406623744,0.897029475076124,0.60487488152564,0.879346012603492,1.13487318389798,0.522491429001093,0.512064075857409,0.0604808652307838,0.0654629197393327,0.109400182985701,0.0897124409438038,0.285651155747473,1.01927380721265,0.212948297243565,0.146018840576027,0.383552586566657,0.265325599632268
0.417830280028284,0.384216717537503,0.294502216391265,0.302417989115086,0.939408735139295,0.893028674224612,-0.290185973513871,-0.346333000333244,0.777171338908374,0.794050085591593,0.0539636873407289,0.116148882197564,0.113611511839554,0.110257200948924,0.125299711665139,0.339942764457496,0.267043510451913,0.239110773582629,0.485251495335251,0.148712828763806
0.403078441042453,0.463020675242668,0.439621974341571,0.380167855827642,1.09149851242546,1.47993186504448,-0.629856254439801,-0.404444478190174,0.870886950287968,0.829648295949566,0.0856309223920107,0.118905790869476,0.117136586457491,0.0979423306303103,0.239665020024404,1.81593285097756,0.29831382567063,0.443335911533652,0.396122312173247,0.453274683059376
0.32263089697808,0.36399470638946,0.423861029278487,0.477589830572879,1.15246849914547,1.31563464743931,0.220211970154196,0.148648911972028,-0.666980510111898,-0.18309368681252,0.122431659465656,0.125506983283798,0.0542918326565996,0.084229952353577,0.251546139130369,1.03599055172619,0.383150097168982,0.47549968923155,0.459160331171006,0.361300509483778
0.48954261559993,0.550426732100627,0.22581007424742,0.2405267446271,1.6222746137064,1.56124415890432,-0.401937338523567,-0.51717655085463,-0.520899780560285,-0.743562454000407,0.131495110783726,0.0854276193273058,0.113559222803451,0.116746377519,0.292609905824065,0.267971896823194,0.257816424127668,0.120334952256452,0.453913170006126,0.510346306568404
0.468037282861769,0.542341760092514,0.442388257477432,0.464671964322501,1.51699148444459,1.39693553185905,0.476444744039327,0.551409852735221,0.361609670799226,0.115904288621842,0.116402257978916,0.168308097595296,0.0653933239867911,0.107028145377484,0.161483372421935,1.18569006597516,0.244135926105082,0.187698893387142,0.215165525581688,0.254094996055787
