"true_mu_w","infer_mu_w","true_mu_A","infer_mu_A","true_mu_theta","infer_mu_theta","true_mu_a","infer_mu_a"
2.49429712444544,2.44680516733421,0.790233375551179,1.04923189227892,1.78038346150424,0.091687403870707,0.456424331665039,0.411592501442475
0.672731074504554,0.348307267575703,0.331826347624883,0.740777702783911,1.40741784649435,0.225747789163991,0.137038795091212,0.147451207907622
1.72442208183929,0.821135966748956,0.364819877874106,0.475450036431954,1.7368940312881,0.0763903616750398,0.465419808030129,0.15051183888452
2.06357907922938,2.81078266426503,0.757627149857581,1.21187909493487,1.62643902993295,0.134357034050885,0.403719265665859,0.479104952352949
1.86791940964758,1.36539866311351,0.297062979079783,0.451697710338267,1.31049028271809,0.294147326307704,0.127402835059911,0.1930232694209
2.10730568226427,3.44607392916119,0.230289821652696,0.202864151276002,1.25254199758638,0.584837715298604,0.292448644060642,0.401066566252663
0.643404844682664,0.448734630866007,0.425522482022643,0.622946386110253,1.09735061926767,0.385497894935163,0.374595531076193,0.456992722683453
0.703730183187872,0.696155475609646,0.310866218013689,0.486399140149679,1.31325984722935,0.724129059456514,0.440003621671349,0.453135912673667
1.31630325224251,0.751454380024751,0.212785103963688,0.51797852546608,1.65981197869405,0.390713783229222,0.153889720886946,0.22365477053858
1.60660187527537,0.188478302020411,0.672134620603174,0.482968950307934,1.03206307266373,0.0929819247491702,0.480430049542338,0.0444418343669777
1.41120958002284,0.893567137411739,0.742813551425934,1.1488688270486,1.56690256379079,0.382135335560294,0.199215368181467,0.258094081762099
2.22981472080573,1.96237492945585,0.685328199993819,1.16184625266547,1.71977643214632,0.192833994707944,0.132958817668259,0.232184145146266
1.48444259958342,1.28938117890409,0.338572730263695,0.406139112256001,1.14268289611209,0.669378298397356,0.265269941650331,0.346669118606311
0.817874214146286,0.970386407499929,0.314627194590867,0.383796644043792,0.796233499539085,0.400912087142232,0.401667219679803,0.487271699601898
1.23225019825622,0.840796299465953,0.79955618227832,1.12665317069061,1.24442943569738,0.350672989830082,0.228347018174827,0.262500832406403
2.20349043002352,0.277903027179971,0.351501623401418,0.345615528669267,1.58641186985187,0.0842427715488355,0.399850086681545,0.042311474862225
