"Arew"	"Apun"	"K"	"betaF"	"betaP"	"subjID"
0.222134278570458	0.0389351519597291	0.94135079522094	2.64556463144063	1.49556220629119	1
0.266257533321638	0.0336496160428909	0.700390465532674	0.769446819490403	-2.74122791651077	2
0.324893498513885	0.0737944997738166	0.981831558994858	4.10093237013695	-6.98195235544635	3
0.0330443540160724	0.0997574136089485	1.78077034751765	0.482809231052283	-0.6433467965418	4
0.132893083833041	0.0415219989571966	1.3165181034157	0.732364393590289	2.81774387759685	5
0.0447874513982609	0.0345468771589993	0.195127985165646	1.99359563236409	1.70979208714625	6
0.103941388388335	0.0953780932301205	0.899364955854822	4.41744798835665	-0.766328527708292	7
0.112325339655728	0.0665458073824056	0.436954790549462	-3.33621365946382	-2.42284079828334	8
0.0576046561265726	0.0422397212687813	0.307230231091258	2.7655550235958	-2.02269016491949	9
0.0836857317192149	0.0273687523157965	1.62178268378163	2.13554114220085	1.74956104826122	10
0.0468448212893868	0.039874915202506	0.575773339622372	2.6580103353629	-2.90359250924099	11
0.134997628104228	0.028879407524166	1.33043172315328	1.67854542740347	2.12503523273322	12
0.510138062301838	0.0896707438673675	0.0979958058548715	2.93524363112618	-4.48287825403116	13
0.25483366117763	0.0563815254422758	1.06157583114753	2.15205709670351	0.903174705544213	14
0.320566783258093	0.0324129663130562	0.833318985083378	-0.765091228877834	-1.27696774332549	15
0.108453943664036	0.0243860177337224	1.82133991918883	0.793227378590137	-1.65800426146878	16
0.416785374607309	0.0333509074510722	0.475417559555917	1.53496308387338	-3.31876329674071	17
0.107035586321569	0.0248097835749368	1.40152006605378	1.38322748241318	1.87791409254276	18
0.186754560273707	0.0361825210280617	0.749822437126767	3.03118056824237	-5.4030486320929	19
0.187708170564047	0.0631380084632452	1.3414153696178	2.39400595589529	2.72511562162	20
0.0454143641690168	0.0744916106402824	1.11274407819562	2.5298050776311	-1.20010804680837	21
0.166916356102769	0.0270165149458028	0.245682911877118	2.57770281031069	-4.53635296059489	22
0.165220083369234	0.0583284744559318	0.109523186204338	3.0526070077313	-3.97231657002235	23
0.0270645876411415	0.07388552269883	1.07916883340545	2.14665457654955	5.69303414925961	24
0.19076254671174	0.0272089221063234	1.5950545459488	0.744227475762462	1.86528978107014	25
0.0488721701581589	0.0466855527940696	1.45711269134539	3.06114824706408	1.29037123892847	26
0.125983569106924	0.0586830007473987	0.919343699184456	3.80767609048471	-2.5110580259452	27
0.148744958850513	0.0250730356866921	0.26154849259403	2.81421296689861	-2.4196703962989	28
0.307579411852909	0.0323024413391282	0.42089725831737	-2.55280975141553	-6.69757094442079	29
0.39688188570722	0.0346374222598614	1.20351602041446	-4.97023501242276	2.61842383600882	30
0.0563409032836831	0.0464857198923184	1.60807522011271	4.5091494049154	-2.77018420897096	31
0.1267023434449	0.053314582994985	0.713001674994482	1.80337698957852	2.98690723829748	32
0.164904902069955	0.0366926495514468	1.45402739018144	0.926213225607244	0.234272800823943	33
0.449852867639152	0.0717539546684971	0.160769432837575	3.58815000944558	-4.75698040600992	34
0.103955615699003	0.024869103751178	0.696998331931147	3.39093793855558	-6.3564343644221	35
0.0830977111422169	0.0221246491721682	0.52667422680758	4.76956600447824	-3.26207202412503	36
0.178435776421304	0.053021688252155	1.38386880384927	-2.58274145243955	0.294248176111981	37
0.0299404747298732	0.0972715016184154	0.393004817438044	3.65698228196709	1.22224541423415	38
0.0373904642157829	0.0404453178322607	0.788881930191382	0.0871448609297621	-5.97814732907046	39
0.0399510222135096	0.040947590550477	1.04557386942387	2.86967741392164	-1.29419001041369	40
0.0334671577702028	0.0384079165009902	1.41600936757152	1.10532891555372	-0.247052702114213	41
0.410509149778291	0.109483245220983	1.10753835812296	2.62727755026135	0.106320228956943	42
0.137531946051089	0.0384371031267956	1.45797948314056	3.47021614170702	-4.55806238814513	43
0.372583611397158	0.0377133846059058	0.897580645124579	3.14630786518991	-4.06983820901493	44
0.0564420804305811	0.0439827000334033	1.06375507601481	-0.0360534576338097	5.32297927858756	45
0.0320945782825213	0.0793955440474511	0.520436919961604	1.75627265027492	-1.99660547871459	46
0.0861076095952059	0.0773509173548072	0.675504586364741	3.77421807167755	-2.54421786169244	47
0.240817337817799	0.040418229675327	0.495557735651307	-0.715108418769788	-3.43615677388946	48
