"A"	"alpha"	"cons"	"lambda"	"subjID"
0.0198220491668844	0.616366362060453	2.26497021085357	0.526462879370223	103
0.0439145919515168	0.83501108293693	1.26563994822542	0.368841335556283	104
0.177790850301728	0.219005226765727	1.39041207600366	1.23271378547332	114
0.0289962189469602	1.28806136186946	1.15130877547861	1.77399261012567	115
0.0856621098133021	0.478102570357339	0.979274720218725	0.87329765483516	116
0.0930158829762548	0.378492451802841	1.2866900783135	2.21759555772866	117
0.0407490802979738	0.539938729584289	2.60785703311074	1.45315507590516	118
0.00912734898153441	0.586551864490561	1.12148261295804	0.539262506841805	121
0.0788498722953353	0.379781503431157	1.03185423681133	1.41887303705142	122
0.089175680996181	0.252633460656663	1.18414891949715	1.1276063404201	123
0.0275760351082635	0.386685914750371	1.15570475470871	0.957660663267801	124
0.0409322613539185	0.367317020475606	1.69076095904418	0.228482813991091	126
0.409705758653026	0.4733206321075	1.25234102835746	0.27063172439699	127
0.247504048399589	0.250759856811355	1.43132825296216	0.165155973777539	128
0.0229233196925696	0.543796849827742	1.08904986789511	0.593272267432067	129
0.0245722215294242	0.412637534934704	1.16878139478475	0.67041487853845	131
0.0561385605650792	0.58006690503407	1.19390419064897	0.304802943256677	132
0.0246804413779739	0.341897352020161	1.37061168370762	0.277598928309442	153
0.078108806324677	0.379425379673743	1.1194207571013	0.57786109667659	171
0.0512287065892397	0.823074754865539	2.31088769380102	0.604860846208054	181
0.0416083168123987	0.653566550621522	1.24798373714478	0.910638421814913	185
0.0400951952689385	0.43357647422396	1.10049012008366	0.656872580733331	206
0.092091793347782	0.217522690045035	1.13043729046217	0.691481357582508	207
0.0335378786046141	0.658833147853724	1.54788724675564	3.46363937575219	208
0.0589383956195415	0.484625015552432	1.12115554790271	0.293755415280604	209
0.0388917065124777	0.452514558953078	1.50111470787858	2.14232438316082	212
0.0926891249507951	0.357400398523511	1.18493681740305	2.16350200538906	222
0.0465992341531746	0.516763063845112	1.48608477946983	0.246609965295248	226
0.011423217755926	0.506357991570836	1.0713838555517	0.680158128678761	228
0.0086865213383783	0.531528217628546	1.06216451279244	0.711559610515343	229
0.0210129563932091	0.580902327287589	2.01129805951774	2.43287243168883	241
0.0611380729866937	0.629075931232052	1.85977862400266	0.930992327905493	242
0.105841619051181	0.378379905717722	1.03660907998723	0.743212477622322	243
0.0701702864228108	0.486679767912742	1.37992218939509	0.52531236727803	246
0.0330488445903874	0.364989740301609	1.11031882671089	1.11298748370311	251
0.0314117376348041	0.136193754372788	2.08322130985815	1.4154118204995	271
0.0103705639829737	0.681029702117748	1.08656428948144	0.635048564553026	272
0.102350534462545	0.762177918163537	1.09121412459518	1.96379800907005	274
0.0150698127163805	0.529605741987138	1.05849078309597	0.987106979528538	279
0.044227345663322	0.470285931874568	1.2142951175492	2.71710319609154	280
0.0230636666523641	0.497911659308402	1.13093170463901	1.06837294393666	284
0.435328448279228	0.318428850223049	1.33526299698547	0.443127331194964	315
0.0998517424675185	0.204610654782596	1.46596278316121	1.11328916772389	325
0.0711863050359841	0.223260178957104	1.19333310098914	1.17761512122663	331
0.0298119883409063	0.352277580489336	1.19609848840429	0.776806821057217	333
0.0314750608545062	0.851125992247727	1.23240913566814	2.0206285335519	336
0.0341436574966179	0.49450682435774	1.91170749430617	2.17535339139331	346
0.0141230345910895	0.562759230790928	1.09620947939206	0.643995644053399	347
