"model","parameter","group1","group2","mean_g1","mean_g2","diff_mean","diff_sd","hdi_lower","hdi_upper","prob_g1_greater","excludes_zero"
"eef","mu_theta","HC","Amph",0.129744838789025,0.196163873670965,-0.0664190348819399,0.223090106674299,-0.591012620777767,0.353933126989241,0.393888888888889,FALSE
"eef","mu_lambda","HC","Amph",0.207328752688777,0.17756614253314,0.0297626101556368,0.246829259963705,-0.491711418951941,0.594624101846066,0.566555555555556,FALSE
"eef","mu_phi","HC","Amph",0.773527136381899,1.30268825280506,-0.529161116423163,0.766768757576717,-2.00838371066475,1.05976032425333,0.216888888888889,FALSE
"eef","mu_cons","HC","Amph",0.28765706887881,0.217950819288643,0.0697062495901671,0.179439109777096,-0.279109232566768,0.406838330310059,0.650222222222222,FALSE
"eef","mu_theta","HC","Hero",0.129744838789025,0.0537351502911739,0.0760096884978509,0.133237647804988,-0.139759909789872,0.340967516642179,0.722666666666667,FALSE
"eef","mu_lambda","HC","Hero",0.207328752688777,0.335423939669811,-0.128095186981035,0.303121559479849,-0.792052139340519,0.422381977032977,0.341277777777778,FALSE
"eef","mu_phi","HC","Hero",0.773527136381899,0.674683543763545,0.0988435926183532,0.916885772875855,-1.60252582931197,2.02644600011649,0.525611111111111,FALSE
"eef","mu_cons","HC","Hero",0.28765706887881,0.312424070437611,-0.0247670015588003,0.181999955612092,-0.382563174070395,0.322606955320086,0.449222222222222,FALSE
"eef","mu_theta","Amph","Hero",0.196163873670965,0.0537351502911739,0.142428723379791,0.190600832892954,-0.137215319900304,0.576646884976938,0.792666666666667,FALSE
"eef","mu_lambda","Amph","Hero",0.17756614253314,0.335423939669811,-0.157857797136672,0.302327349902857,-0.855520779901239,0.37788643174204,0.292888888888889,FALSE
"eef","mu_phi","Amph","Hero",1.30268825280506,0.674683543763545,0.628004709041516,1.07123688212897,-1.55632362616041,2.70634286131069,0.729166666666667,FALSE
"eef","mu_cons","Amph","Hero",0.217950819288643,0.312424070437611,-0.0944732511489674,0.170891600541642,-0.415142900671057,0.240697849063717,0.280722222222222,FALSE
