"true_mu_theta","infer_mu_theta","true_mu_lambda","infer_mu_lambda","true_mu_phi","infer_mu_phi","true_mu_cons","infer_mu_cons","true_sigma_theta","infer_sigma_theta","true_sigma_lambda","infer_sigma_lambda","true_sigma_phi","infer_sigma_phi","true_sigma_cons","infer_sigma_cons"
0.791413269937038,0.977820935187523,0.457723547751084,0.515514850113835,-0.293973765335977,-0.1659554211762,1.01219206815585,1.00669029983115,0.0912628483492881,0.319141562046537,0.0919172235997394,0.42233696971203,0.455119026079774,0.513863514219475,0.132486304268241,0.284741853996057
0.752427302673459,0.97829296902093,0.297432915633544,0.262269693794387,0.181205766275525,0.156578138446197,2.64140874613076,2.62752956054152,0.104387643327937,0.311851840639312,0.0553189015481621,0.294289314051984,0.151129955053329,0.264048042068786,0.430822743847966,0.41935180109479
0.608859053393826,0.770124301283165,0.372514885896817,0.274838100930536,0.136795158497989,0.47584077056396,2.29853654932231,2.06191572725929,0.137415539822541,0.348954059933866,0.0619226366747171,0.309285766818966,0.435465421807021,0.377547935825158,0.43170710504055,0.440071731941629
0.66072666416876,0.415170314094269,0.36972729023546,0.182378117270864,-1.55959700141102,-1.62054969188713,1.10957688419148,1.02720173037033,0.0891226173145696,0.580406797617493,0.14518721695058,0.495054694427106,0.203068212512881,0.472275062712116,0.405302897002548,0.46049895386185
0.561291490402073,0.815114673330403,0.752082674019039,0.973322213797606,1.39801602531224,1.32663172241797,1.26896906644106,1.21635803398062,0.122939135809429,0.609884667658755,0.0713238291442394,0.335173803699228,0.234652735479176,0.366218047908739,0.241844415478408,0.36883342493305
0.389527442120016,0.258654748246379,0.322648020880297,0.278075408716961,0.117442764341831,-0.0217649190206276,2.57604960212484,2.4741485811608,0.0834100545151159,0.562009677142715,0.0973871901631355,0.388280097443309,0.47435909351334,0.384294322565849,0.39762612618506,0.368641350466452
0.613868719525635,0.786703289053315,0.718169333832338,0.945877602571532,1.32670462969691,1.46202718244372,1.17306303372607,1.16409213795941,0.13078894240316,0.598171844628088,0.135095063154586,0.362509227352769,0.153254747390747,0.316925790367484,0.225602383073419,0.306216592282766
0.797591864829883,0.970487517726187,0.716856407467276,0.925377354185785,0.800145077519119,0.780052588419277,1.63870310038328,1.71543645497915,0.10171054280363,0.349569843883234,0.0884527935413644,0.576955470657508,0.11635313546285,0.239070458475249,0.279900060780346,0.320317259948946
0.627550141885877,0.0820622852389994,0.279889664519578,0.0909335203595802,-1.94309409987181,-2.58375586179889,1.93816487304866,2.10438838850987,0.0874674510676414,0.584176236651929,0.0583195451647043,0.555860186122845,0.446587511245161,0.480417896839191,0.289915437065065,0.689800854321756
0.658483001217246,0.946249177065472,0.556604615971446,0.733132431230904,-1.44125394243747,-1.29756210543459,2.03696459205821,2.53803321955612,0.106082113902085,0.411526291792754,0.121176996151917,0.497406730180261,0.130375437811017,0.381632024076025,0.24391667759046,0.457172495740454
0.467003799416125,0.921216539626587,0.567221377464011,0.809452567259621,-0.505474958568811,-0.616920783774896,2.94325996609405,3.07737272368227,0.129065192374401,0.55175246795147,0.0726991288829595,0.474651766261955,0.384495902899653,0.527646527635388,0.356671172380447,0.468051284671673
0.474102954566479,0.13759242822028,0.713789538946003,0.960029191941274,1.24566701892763,1.27743998333951,1.35796937113628,1.37275585639475,0.145122523396276,0.590933927929379,0.137868055864237,0.390928587268457,0.222450911719352,0.298861781894286,0.104222313500941,0.32081493319005
0.492949625011534,0.418733732304073,0.221315450780094,0.0150683828332597,1.66611244995147,1.69909613926127,2.96503469115123,3.05243493899983,0.148235724959522,0.446059865287988,0.0942280244315043,0.294857487591696,0.16405332153663,0.307545878795027,0.256281222682446,0.360592821816345
0.505066719092429,0.959319521250652,0.702840048028156,0.974284532775566,-0.60709260776639,-0.727347850100924,2.7209839746356,2.79901120714604,0.105618715868331,0.38368422565904,0.133091891976073,0.3344555030578,0.211863936576992,0.345009394798358,0.108157200738788,0.460630578080949
0.442430738871917,0.93201487949202,0.700172004150227,0.954405138430074,-0.899834557436407,-0.944736431946817,2.42084455303848,2.38302666642385,0.0728098279330879,0.441036559460334,0.0857615931192413,0.615172649694115,0.188553813658655,0.3558185575833,0.195864248927683,0.412080294032563
0.78075867309235,0.919449134750688,0.606603344390169,0.927007382882298,-1.78068835288286,-1.47214197351741,2.08903058990836,2.60960590130276,0.106703068804927,0.490600088758372,0.0972642940934747,0.457389027176154,0.348135146405548,0.437045167520533,0.305875218193978,0.452750091599167
0.646164214098826,0.943143914657574,0.674428251152858,0.692834268185415,1.58464596047997,1.76646336969496,2.51683206716552,2.26354217651267,0.0500824857736006,0.414622096716647,0.101201783772558,0.345837454242529,0.170652736723423,0.324864906926367,0.148361133690923,0.342045336485182
0.680844114813954,0.928637550865573,0.756431497773156,0.968058885419742,0.955407495610416,1.03717690434044,1.34105888102204,1.34751277240657,0.0912481828127056,0.471698730667775,0.112981590814888,0.33964676390147,0.133304656483233,0.323180225022254,0.344938119314611,0.390866316881549
0.558123318757862,0.903625880526195,0.509778241626918,0.912031346425497,-1.87848058063537,-2.78953448154331,1.6509563010186,2.1804453728171,0.0992102700984105,0.482110902311215,0.113109604665078,0.570975604888513,0.101116352248937,0.506125274082466,0.16870544552803,0.480406168356013
0.78639249582775,0.941702171548865,0.687509507033974,0.783956524687702,1.59615084063262,1.5266513863071,2.91986245615408,2.89102593566947,0.0534440572373569,0.387283416069123,0.0522736398037523,0.296694209975418,0.30902351969853,0.335890794847519,0.171175248455256,0.375343916975803
0.483228781400248,0.26597829926016,0.262004178203642,0.0455051136023616,0.481938470155001,0.514119645502877,2.9961336790584,3.10158565762363,0.143905079131946,0.351105032519154,0.139068898558617,0.434701766077473,0.430735749099404,0.428455273016164,0.398109071608633,0.463960783215384
0.368602572660893,0.0785761785925983,0.547869867365807,0.658879671930791,0.494248044677079,0.344183572359425,1.27019838429987,1.36733086650691,0.0560558697441593,0.459016218917942,0.10809165823739,0.429616873576879,0.451985323801637,0.470247636160515,0.407842887286097,0.323877955073765
0.473983912542462,0.60630552286475,0.516481541423127,0.548848023849678,-0.13783388864249,-0.0323917845472531,2.40445889858529,2.51726351743153,0.073315633344464,0.604738115267976,0.124630103609525,0.435796956171534,0.463589655142277,0.411010651114462,0.394411001075059,0.385005981520117
0.216777074756101,0.0329830805816721,0.545172327011824,0.622695490927364,0.213276935741305,0.222136642940328,2.09204399166629,1.98504743576586,0.147503954079002,0.531403621123794,0.092518722335808,0.336072882681815,0.292028526868671,0.379781583239893,0.467131731938571,0.489953001300578
0.521522947447375,0.574837639748372,0.30046658301726,0.130429705116015,0.528622490353882,0.563851230185695,2.06514485972002,1.98385980561335,0.128299682145007,0.509170323337512,0.0828686236636713,0.31868499432636,0.117402138095349,0.251793138869591,0.171059303823859,0.273908560254349
0.528790521016344,0.596406411600955,0.747221052553505,0.98090057061748,-0.271508506499231,-0.155503423286395,1.44559404766187,1.54718912334393,0.128053695498966,0.583951118378139,0.0681404576869682,0.295617355864453,0.402418669965118,0.467659624865994,0.146499754488468,0.318547084328149
0.718275860697031,0.966172439071842,0.62921652905643,0.813316176009283,0.137309955433011,0.188460655193198,1.72712255641818,1.72401486417599,0.0605971708195284,0.375375048611382,0.104414626467042,0.379578209567609,0.277438263781369,0.380029498124312,0.447068135160953,0.38661371814697
0.316882485337555,0.0785913667817879,0.466447095479816,0.56501830794963,-1.64820328820497,-1.99528543728546,1.85501463618129,1.70565456962476,0.0861406543757766,0.54508395147148,0.114581845304929,0.504257337617746,0.180129681248218,0.552550937937412,0.408763034269214,0.672184446904454
0.254665631707758,0.0266378246518656,0.42473090137355,0.511017311414152,-0.0952484989538789,-0.276125410273696,1.68880310328677,1.63813283796013,0.121874897647649,0.355652188149312,0.138666197122075,0.428314422669377,0.237838678434491,0.410532839492458,0.460258976835758,0.459134758020493
0.758464547526091,0.884472348003207,0.341873121960089,0.864447728218707,-1.80575876589864,-2.56151952000816,2.82452746480703,2.56298547027366,0.0782005771528929,0.543615004423801,0.0706203495385125,0.635541550118598,0.35567956706509,0.48546142477107,0.331530855223537,0.488255668226637
0.362987927300856,0.462101971742434,0.667187749734149,0.975375910683981,-0.260965692810714,-0.374577825265302,1.977042643819,1.86219412492099,0.0745965730864555,0.611377920040792,0.147901152353734,0.325199769050191,0.465652895905078,0.48518110883362,0.250314337294549,0.391076554083824
0.239584218617529,0.0462068671762237,0.405962734017521,0.404985327869161,1.10658254567534,1.25597845049196,2.42754021473229,2.3855213307886,0.104428644874133,0.342516893886432,0.120289471163414,0.426314559178978,0.293949091620743,0.417810176407742,0.362528132367879,0.37082009398046
0.359554798807949,0.0706785301371372,0.760180112579838,0.985670247198676,0.18126384075731,0.148973131716526,1.14272977784276,1.10544921389862,0.090380928479135,0.512167345477326,0.10903439829126,0.321851430116519,0.37011708393693,0.534187578495984,0.286777419876307,0.364360539859901
0.675853224704042,0.88922674252792,0.221547003369778,0.0232349502182254,-0.587462410330772,-0.5769710284388,1.31123857246712,1.30244865112978,0.111360781406984,0.637616538773711,0.142720821732655,0.316620433552602,0.42120999796316,0.423734893504212,0.285960243176669,0.315929258810799
0.361005480634049,0.0345486639676229,0.580744715034962,0.675850122999741,0.324957454577088,0.341825194958803,2.25992924394086,2.08658374675461,0.117283398285508,0.392656569791729,0.137540343101136,0.48910408097098,0.266644424572587,0.334506007404241,0.209547133836895,0.318644869858881
0.369090252602473,0.354113148231878,0.351850177580491,0.0463035909865113,0.748746290802956,0.937762274026032,1.04618413373828,0.888261352777841,0.0880034346599132,0.734138406930276,0.116401386493817,0.372824798028045,0.252313258592039,0.49581740817322,0.168046495132148,0.317482533849655
